North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
PHARMACEUTICAL PREPARATION MANUFACTURING,2012,"$2,623,339,960.93"
BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,2012,"$1,959,078,018.72"
COMPUTER SYSTEMS DESIGN SERVICES,2012,"$1,675,945,968.25"
ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2012,"$1,626,937,977.96"
DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,2012,"$1,177,810,165.32"
OTHER COMPUTER RELATED SERVICES,2012,"$703,391,922.28"
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",2012,"$688,309,902.26"
RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,2012,"$642,503,078.03"
FACILITIES SUPPORT SERVICES,2012,"$640,904,799.31"
"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2012,"$586,594,306.85"
COMPUTER FACILITIES MANAGEMENT SERVICES,2012,"$386,511,315.50"
OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2012,"$366,703,856.35"
RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2012,"$334,065,356.49"
CUSTOM COMPUTER PROGRAMMING SERVICES,2012,"$253,465,836.80"
ELECTRONIC COMPUTER MANUFACTURING,2012,"$225,258,899.91"
TELEPHONE ANSWERING SERVICES,2012,"$223,182,483.28"
TEMPORARY HELP SERVICES,2012,"$218,960,171.56"
OTHER MANAGEMENT CONSULTING SERVICES,2012,"$213,891,542.89"
"DATA PROCESSING, HOSTING, AND RELATED SERVICES",2012,"$192,804,213.18"
ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2012,"$169,884,913.26"
LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),2012,"$131,317,405.50"
COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2012,"$122,762,063.74"
ADVERTISING AGENCIES,2012,"$111,581,274.71"
OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),2012,"$109,257,318.84"
ALL OTHER INSURANCE RELATED ACTIVITIES,2012,"$102,735,786.56"
MARKETING CONSULTING SERVICES,2012,"$88,499,788.81"
ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,2012,"$82,841,095.39"
COMPUTER AND SOFTWARE STORES,2012,"$75,841,420.67"
ADMINISTRATION OF PUBLIC HEALTH PROGRAMS,2012,"$74,430,485.30"
SECURITY GUARDS AND PATROL SERVICES,2012,"$72,462,514.85"
ENGINEERING SERVICES,2012,"$59,481,923.30"
OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,2012,"$58,060,390.55"
REFRIGERATED WAREHOUSING AND STORAGE,2012,"$58,059,056.73"
OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2012,"$57,717,160.84"
PUBLIC RELATIONS AGENCIES,2012,"$57,526,803.63"
EXAM PREPARATION AND TUTORING,2012,"$57,243,540.00"
SOFTWARE PUBLISHERS,2012,"$53,423,259.87"
"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",2012,"$50,401,075.24"
EDUCATIONAL SUPPORT SERVICES,2012,"$48,934,527.24"
"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2012,"$47,060,861.68"
MARKETING RESEARCH AND PUBLIC OPINION POLLING,2012,"$45,473,553.85"
OTHER ACCOUNTING SERVICES,2012,"$45,367,213.63"
GENERAL AUTOMOTIVE REPAIR,2012,"$44,853,592.00"
DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,2012,"$43,314,072.20"
OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,2012,"$40,908,090.58"
WIRED TELECOMMUNICATIONS CARRIERS,2012,"$39,871,743.12"
ELECTRIC POWER DISTRIBUTION,2012,"$39,325,464.88"
PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,2012,"$37,811,960.88"
COLLECTION AGENCIES,2012,"$35,330,964.88"
OFFICE ADMINISTRATIVE SERVICES,2012,"$34,357,340.71"
ALL OTHER OUTPATIENT CARE CENTERS,2012,"$33,958,599.04"
JANITORIAL SERVICES,2012,"$31,824,207.70"
"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",2012,"$29,944,318.69"
ENVIRONMENTAL CONSULTING SERVICES,2012,"$28,278,660.23"
OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2012,"$27,910,705.60"
SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2012,"$27,868,512.39"
MEDICINAL AND BOTANICAL MANUFACTURING,2012,"$27,708,938.89"
ALL OTHER ANIMAL PRODUCTION,2012,"$25,758,333.26"
ALL OTHER TELECOMMUNICATIONS,2012,"$25,464,818.67"
OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,2012,"$23,584,651.27"
LIBRARIES AND ARCHIVES,2012,"$23,395,614.86"
"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",2012,"$23,280,028.20"
MEDICAL LABORATORIES,2012,"$22,630,055.43"
FOSSIL FUEL ELECTRIC POWER GENERATION,2012,"$21,885,842.91"
TESTING LABORATORIES,2012,"$21,819,468.86"
OTHER WAREHOUSING AND STORAGE,2012,"$21,175,213.13"
TRAVEL AGENCIES,2012,"$19,474,055.40"
CONVENTION AND TRADE SHOW ORGANIZERS,2012,"$18,683,697.40"
