Women Owned Business,North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation,,,
t,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2012,230183337,,ADM MGMT GM CONS,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
t,OTHER COMPUTER RELATED SERVICES,2012,157629829.8,,OTH CPU SVC,OTHER COMPUTER RELATED SERVICES
t,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2012,129258585.5,,OTH PST SVC,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"
t,COMPUTER SYSTEMS DESIGN SERVICES,2012,123158074.1,,CPU SYS DES,COMPUTER SYSTEMS DESIGN SERVICES
t,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2012,52172477.13,,OTH COMM MFG,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING
t,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",2012,51092212.94,,R&D PELS,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)"
t,COMPUTER FACILITIES MANAGEMENT SERVICES,2012,46001318.44,,CPU FAC MGMT,COMPUTER FACILITIES MANAGEMENT SERVICES
t,CUSTOM COMPUTER PROGRAMMING SERVICES,2012,43047579.4,,CUS CPU PROG,CUSTOM COMPUTER PROGRAMMING SERVICES
t,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",2012,28413705,,DATA SVC,"DATA PROCESSING, HOSTING, AND RELATED SERVICES"
t,ELECTRONIC COMPUTER MANUFACTURING,2012,28272995.33,,ELEC CPU MFG,ELECTRONIC COMPUTER MANUFACTURING
,,,,,,
t,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2013,362665809.5,,ADM MGMT GM CONS,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
t,OTHER COMPUTER RELATED SERVICES,2013,181990476.7,,OTH CPU SVC,OTHER COMPUTER RELATED SERVICES
t,COMPUTER SYSTEMS DESIGN SERVICES,2013,153625693.2,,CPU SYS DES,COMPUTER SYSTEMS DESIGN SERVICES
t,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2013,129597412.9,,OTH PST SVC,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"
t,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2013,44202726.2,,R&D SOC Scie/Hum,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES
t,CUSTOM COMPUTER PROGRAMMING SERVICES,2013,43866734.8,,,
t,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",2013,36691799.5,,,
t,ELECTRONIC COMPUTER MANUFACTURING,2013,35589418.74,,,
t,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",2013,34029017.96,,,
t,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2013,31076563.15,,,
,,,,,,
t,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2014,309873310.6,,,
t,COMPUTER SYSTEMS DESIGN SERVICES,2014,233861007.5,,,
t,OTHER COMPUTER RELATED SERVICES,2014,154663751.6,,,
t,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2014,150024179.9,,,
t,OTHER MANAGEMENT CONSULTING SERVICES,2014,107335891.1,,,
t,ELECTRONIC COMPUTER MANUFACTURING,2014,58334906.08,,,
t,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",2014,44546960.06,,,
t,SOFTWARE PUBLISHERS,2014,38333275.57,,,
t,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2014,36852490.41,,,
t,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2014,36241139.41,,,
,,,,,,
t,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2015,358976265.5,,,
t,COMPUTER SYSTEMS DESIGN SERVICES,2015,278050102.7,,,
t,OTHER COMPUTER RELATED SERVICES,2015,196726407,,,
