Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Vendor DUNS,Vendor Name,Vendor City,Vendor State,Vendor ZIP Code,Global DUNS Number,Global Vendor Name,Additional Reporting Code,Additional Reporting Description,
"DEAX0104ME04260",,"0","0","PO Purchase Order","$6,735.00","May 28, 2004",,"8900","ENERGY, DEPARTMENT OF","HEADQUARTERS PROCUREMENT SERVICES","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","238390","OTHER BUILDING FINISHING CONTRACTORS","783339716","C D CONTRACTORS INCORPORATED","FALLS CHURCH","VA","220461647","783339716","C D CONTRACTORS INCORPORATED",,,
"H9224306P0767",,"0","0","PO Purchase Order","$17,615.00","Apr 18, 2006",,"97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","NAVAL SPEC WARFARE GROUP TWO NSWG-2","P","6730","PHOTOGRAPHIC PROJECTION EQUIPMENT","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","146881870","VIDEO CONCEPTS ENGINEERING, IN","HAMPTON","VA","23669","146881870","VIDEO CONCEPTS ENGINEERING, IN",,,
"DEAX0104ME04240",,"0","0","PO Purchase Order","$11,555.00","Apr 12, 2004",,"8900","ENERGY, DEPARTMENT OF","HEADQUARTERS PROCUREMENT SERVICES","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","238390","OTHER BUILDING FINISHING CONTRACTORS","783339716","C D CONTRACTORS INCORPORATED","FALLS CHURCH","VA","220461647","783339716","C D CONTRACTORS INCORPORATED",,,
"SKE50011M0070",,"0","0","PO Purchase Order","$9,550.87","Dec 3, 2010",,"1900","STATE, DEPARTMENT OF","AMERICAN EMBASSY- NAIROBI","S","V231","LODGING - HOTEL/MOTEL","721110","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023732","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"DEAX0104ME04252",,"0","0","PO Purchase Order","$9,190.00","May 14, 2004",,"8900","ENERGY, DEPARTMENT OF","HEADQUARTERS PROCUREMENT SERVICES","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","238390","OTHER BUILDING FINISHING CONTRACTORS","783339716","C D CONTRACTORS INCORPORATED","FALLS CHURCH","VA","220461647","783339716","C D CONTRACTORS INCORPORATED",,,
"N0018917D0028",,"P00001",0,"IDC Indefinite Delivery Contract","$0.00","Apr 27, 2018",,"1700","DEPT OF THE NAVY","NAVSUP FLT LOG CTR NORFOLK","S","U009","EDUCATION/TRAINING- GENERAL","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS","146573097","AMERICAN FEDERAL CONTRACTORS, INC.","RESTON","VA","201915488","146573097","AMERICAN FEDERAL CONTRACTORS  INC.",,,
"N0018917D0028",,"0",0,"IDC Indefinite Delivery Contract","$0.00","May 11, 2017",,"1700","DEPT OF THE NAVY","NAVSUP FLT LOG CTR NORFOLK","S","U009","EDUCATION/TRAINING- GENERAL","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS","146573097","AMERICAN FEDERAL CONTRACTORS, INC.","RESTON","VA","201915488","146573097","AMERICAN FEDERAL CONTRACTORS  INC.",,,
"SHA70011M0898",,"0","0","PO Purchase Order","$24,068.57","May 25, 2011",,"1900","STATE, DEPARTMENT OF","AMERICAN EMBASSY- PORT-AU-PRINCE","P","9140","FUEL OILS","454319","OTHER FUEL DEALERS","123456787","MISCELLANEOUS FOREIGN CONTRACTORS","ARLINGTON","VA","222023732","123456787","MISCELLANEOUS FOREIGN CONTRACTORS",,,
"N0018917D0028",,"P00002",0,"IDC Indefinite Delivery Contract","$0.00","Jan 22, 2019",,"1700","DEPT OF THE NAVY","NAVSUP FLT LOG CTR NORFOLK","S","U009","EDUCATION/TRAINING- GENERAL","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS","146573097","AMERICAN FEDERAL CONTRACTORS, INC.","RESTON","VA","201915488","146573097","AMERICAN FEDERAL CONTRACTORS  INC.",,,
"GS11P10YAC0100",,"PA26","0","DCA Definitive Contract","-$3,250.00","Mar 27, 2014",,"4740","PUBLIC BUILDINGS SERVICE","WPHBB - AGGREGATED REPAIR&ALTERATIONS CONTRACTS BRANCH","S","Z111","MAINT-REP-ALT/OFFICE BLDGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","826599834","DESIGN BUILD CONTRACTORS LLC","NOKESVILLE","VA","201812501","826599834","DESIGN BUILD CONTRACTORS  LLC",,,
